date,machine_name,region_id,sex,sdi,baseline_days,status,uid,death_date
2017-04-19,ETHOSCOPE_027,10,M,0,3,OK,190,2017-05-23
2017-04-19,ETHOSCOPE_027,11,M,0,3,OK,191,2017-05-17
2017-04-19,ETHOSCOPE_027,12,M,10,3,OK,192,2017-05-23
2017-04-19,ETHOSCOPE_027,13,M,0,3,OK,193,2017-05-19
2017-04-19,ETHOSCOPE_027,14,M,10,3,OK,194,2017-05-20
2017-04-19,ETHOSCOPE_027,15,M,0,3,OK,195,2017-05-21
2017-04-19,ETHOSCOPE_027,16,M,10,3,OK,196,2017-05-20
2017-04-19,ETHOSCOPE_027,17,M,0,3,OK,197,2017-05-19
2017-04-19,ETHOSCOPE_027,18,M,10,3,OK,198,2017-05-17
2017-04-19,ETHOSCOPE_027,19,M,0,3,OK,199,2017-05-20
2017-04-19,ETHOSCOPE_027,20,M,10,3,OK,200,2017-05-20
2017-04-19,ETHOSCOPE_040,1,F,10,3,OK,201,2017-05-20
2017-04-19,ETHOSCOPE_040,2,F,0,3,OK,202,2017-05-24
2017-04-19,ETHOSCOPE_040,3,F,10,3,OK,203,2017-05-20
2017-04-19,ETHOSCOPE_040,4,F,0,3,OK,204,2017-05-20
2017-04-19,ETHOSCOPE_040,5,F,10,3,OK,205,2017-05-22
2017-04-19,ETHOSCOPE_040,6,F,0,3,OK,206,2017-05-22
2017-04-19,ETHOSCOPE_040,7,F,10,3,todo,207,NA
2017-04-19,ETHOSCOPE_040,8,F,0,3,todo,208,NA
2017-04-19,ETHOSCOPE_040,9,F,10,3,OK,209,2017-05-21
2017-04-19,ETHOSCOPE_040,10,F,0,3,OK,210,2017-05-20
2017-04-19,ETHOSCOPE_040,11,F,0,3,OK,211,2017-05-24
2017-04-19,ETHOSCOPE_040,12,F,10,3,OK,212,2017-05-10
2017-04-19,ETHOSCOPE_040,13,F,0,3,OK,213,2017-05-22
2017-04-19,ETHOSCOPE_040,14,F,10,3,OK,214,2017-05-19
2017-04-19,ETHOSCOPE_040,15,F,0,3,OK,215,2017-05-13
2017-04-19,ETHOSCOPE_040,16,F,10,3,OK,216,2017-05-20
2017-04-19,ETHOSCOPE_040,17,F,0,3,OK,217,2017-05-18
2017-04-19,ETHOSCOPE_040,18,F,10,3,OK,218,2017-05-18
2017-04-19,ETHOSCOPE_040,19,F,0,3,OK,219,2017-05-24
2017-04-19,ETHOSCOPE_040,20,F,10,3,OK,220,2017-05-20
2017-04-19,ETHOSCOPE_046,1,F,10,3,OK,221,2017-05-15
2017-04-19,ETHOSCOPE_046,2,F,0,3,OK,222,2017-05-23
2017-04-19,ETHOSCOPE_046,3,F,10,3,OK,223,2017-05-14
2017-04-19,ETHOSCOPE_046,4,F,0,3,OK,224,2017-05-21
2017-04-19,ETHOSCOPE_046,5,F,10,3,OK,225,2017-05-20
2017-04-19,ETHOSCOPE_046,6,F,0,3,todo,226,NA
2017-04-19,ETHOSCOPE_046,7,F,10,3,todo,227,NA
2017-04-19,ETHOSCOPE_046,8,F,0,3,OK,228,2017-05-21
2017-04-19,ETHOSCOPE_046,9,F,10,3,OK,229,2017-05-25
2017-04-19,ETHOSCOPE_046,10,F,0,3,OK,230,2017-05-17
2017-04-19,ETHOSCOPE_046,11,F,0,3,OK,231,2017-05-21
2017-04-19,ETHOSCOPE_046,12,F,10,3,OK,232,2017-05-21
2017-04-19,ETHOSCOPE_046,13,F,0,3,OK,233,2017-05-21
2017-04-19,ETHOSCOPE_046,14,F,10,3,OK,234,2017-05-22
2017-04-19,ETHOSCOPE_046,15,F,0,3,OK,235,2017-05-21
2017-04-19,ETHOSCOPE_046,16,F,10,3,OK,236,2017-05-12
2017-04-19,ETHOSCOPE_046,17,F,0,3,OK,237,2017-05-19
2017-04-19,ETHOSCOPE_046,18,F,10,3,OK,238,2017-05-20
2017-04-19,ETHOSCOPE_046,19,F,0,3,OK,239,2017-05-20
2017-04-19,ETHOSCOPE_046,20,F,10,3,OK,240,2017-05-21
2017-04-19,ETHOSCOPE_047,1,F,10,3,OK,241,2017-05-15
2017-04-19,ETHOSCOPE_047,2,F,0,3,OK,242,2017-05-15
