"","id","sleep_before","video_machine_name","video_region_id","video_id","machine_name","machine_id","region_id","sex","sdi","baseline_days","status","i.video_region_id","video","mean_asleep","mean_quiet","mean_micro.mov.","mean_asleep_l","mean_quiet_l","mean_micro.mov._l","mean_asleep_d","mean_quiet_d","mean_micro.mov._d","rank_asleep","rank_quiet","mean_asleep_dam","mean_quiet_dam","mean_asleep_dam_l","mean_quiet_dam_l","mean_asleep_dam_d","mean_quiet_dam_d"
"32","2016-04-04_17-39-52_035aee|04",NA,NA,NA,NA,"ETHOSCOPE_035","035aeeee10184bb39b0754e75cef7900",4,"M",0,4,"OK","None","None",0.16974361942242,0.481306788587303,0.174315643266393,0.242259390010996,0.616818102899473,0.156259042768679,0.0972278488338446,0.345795474275132,0.192372243764107,5,10,0.57487195810064,0.886946960270841,0.731408067596504,0.95098095954627,0.418344907407407,0.822916666666667
"33","2016-04-04_17-39-52_035aee|06",NA,NA,NA,NA,"ETHOSCOPE_035","035aeeee10184bb39b0754e75cef7900",6,"M",0,4,"OK","None","None",0.498017767746043,0.752814191046676,0.100095494400556,0.571593934483158,0.812941312651927,0.0915615233244589,0.424445859135367,0.692690549221598,0.108628971584004,366,420,0.86035475563529,0.967012934402037,0.919613403553446,0.984431969442676,0.801099537037037,0.949594907407407
"34","2016-04-04_17-39-52_035aee|08",NA,NA,NA,NA,"ETHOSCOPE_035","035aeeee10184bb39b0754e75cef7900",8,"M",0,4,"OK","None","None",0.378627853815215,0.635406117075147,0.113255591886339,0.481625094044794,0.712599108744719,0.0956073846866138,0.275636574074074,0.558217592592593,0.130902777777778,138,96,0.73506177840794,0.93061141815446,0.796689623242086,0.954106140401644,0.6734375,0.907118055555556
"35","2016-04-04_17-39-52_035aee|10",NA,NA,NA,NA,"ETHOSCOPE_035","035aeeee10184bb39b0754e75cef7900",10,"M",0,4,"OK","None","None",0.536171074714972,0.725533885062793,0.10330458938596,0.566674383609214,0.761777983562912,0.100243083690242,0.505671296296296,0.689293981481481,0.106365740740741,424,345,0.839434011400793,0.940131369541943,0.878233694079518,0.968516696568088,0.800636574074074,0.911747685185185
"36","2016-04-04_17-39-52_035aee|13",NA,NA,NA,NA,"ETHOSCOPE_035","035aeeee10184bb39b0754e75cef7900",13,"M",0,4,"OK","None","None",0.46193245941488,0.75799403883439,0.106461787770929,0.455550410927191,0.769359879615696,0.104352355596713,0.468314138549685,0.746628855836565,0.10857109786446,293,431,0.879770826702162,0.975201828756619,0.887782857804271,0.981769778343654,0.871759259259259,0.968634259259259
"37","2016-04-04_17-39-52_035aee|17",NA,NA,NA,NA,"ETHOSCOPE_035","035aeeee10184bb39b0754e75cef7900",17,"M",0,4,"OK","None","None",0.56231372435545,0.803090367198125,0.098411412367256,0.547196018288095,0.79952543549974,0.106777012558597,0.577430555555556,0.806655092592593,0.0900462962962963,456,477,0.934430973118435,0.976619693856882,0.929972799351814,0.983043000173621,0.938888888888889,0.970196759259259
"38","2016-04-04_17-39-52_035aee|19",NA,NA,NA,NA,"ETHOSCOPE_035","035aeeee10184bb39b0754e75cef7900",19,"M",0,4,"OK","None","None",0.308689487543042,0.569576665991493,0.158135362713041,0.385496845882285,0.651947450662654,0.136408356965102,0.231886574074074,0.487210648148148,0.179861111111111,55,33,0.761856535200671,0.944182412685552,0.815267087215695,0.970195034434863,0.708449074074074,0.918171296296296
"39","2016-04-04_17-41-29_020aee|01",NA,NA,NA,NA,"ETHOSCOPE_020","020aeeee10184bb39b0754e75cef7900",1,"F",0,4,"OK","None","None",0.210030706243603,0.406726129551104,0.316976166106156,0.110365183170322,0.32235661785983,0.312055095781006,0.311834949160558,0.492906124379286,0.322002837550248,493,409,0.758528892618421,0.962701467056338,0.560217605185485,0.935123560391226,0.956828703703704,0.990277777777778
"40","2016-04-04_17-41-29_020aee|02",NA,NA,NA,NA,"ETHOSCOPE_020","020aeeee10184bb39b0754e75cef7900",2,"F",0,4,"OK","None","None",0.0304985676668885,0.184409271101594,0.205445759425909,0.00781295213843394,0.168991261068349,0.141327623126338,0.0531828703703704,0.199826388888889,0.269560185185185,19,8,0.329060447350907,0.891026939436905,0.10608252792407,0.863244400717634,0.552025462962963,0.91880787037037
"41","2016-04-04_17-41-29_020aee|03",NA,NA,NA,NA,"ETHOSCOPE_020","020aeeee10184bb39b0754e75cef7900",3,"F",0,4,"OK","None","None",0.0363989112179302,0.249493253026003,0.287890195169977,0.00191237830319889,0.226877607788595,0.233078349559573,0.0708415325847899,0.272080101863642,0.342632249102905,28,50,0.673138690355624,0.964292948291328,0.540424793101453,0.955495109670699,0.805844907407407,0.973090277777778
"42","2016-04-04_17-41-29_020aee|04",NA,NA,NA,NA,"ETHOSCOPE_020","020aeeee10184bb39b0754e75cef7900",4,"F",0,4,"OK","None","None",0.175915987351687,0.382089292448725,0.248092599576456,0.0530690537084399,0.24221111369449,0.220704487328528,0.298314704349337,0.521457114727515,0.275380784154746,385,326,0.728695853467982,0.968951647906479,0.568551420799815,0.952890792291221,0.888831018518519,0.985011574074074
"43","2016-04-04_17-41-29_020aee|05",NA,NA,NA,NA,"ETHOSCOPE_020","020aeeee10184bb39b0754e75cef7900",5,"F",0,4,"OK","None","None",0.446569634538036,0.633293787435979,0.179808443531352,0.287632386133457,0.535274032062041,0.172347936801898,0.605497685185185,0.73130787037037,0.187268518518519,863,857,0.822014525883272,0.970948233455829,0.675270559638868,0.949997106314023,0.96875,0.991898148148148
"44","2016-04-04_17-41-29_020aee|06",NA,NA,NA,NA,"ETHOSCOPE_020","020aeeee10184bb39b0754e75cef7900",6,"F",0,4,"OK","None","None",0.135106198275363,0.368539846055906,0.192893107240002,0.0280108802592743,0.328317610972857,0.149777186179756,0.242201516291452,0.408762081138955,0.236009028300249,244,281,0.547903585173182,0.935964582308516,0.323282597372533,0.910122113548238,0.772511574074074,0.961805555555556
"45","2016-04-04_17-41-29_020aee|07",NA,NA,NA,NA,"ETHOSCOPE_020","020aeeee10184bb39b0754e75cef7900",7,"F",0,4,"OK","None","None",0.0649997105979047,0.273282398564566,0.393413208311628,0.0481565086531226,0.2364993922556,0.337558603924292,0.0818429125426868,0.310065404873531,0.449267812698964,80,80,0.763303336323389,0.962932955235973,0.592279645812836,0.940853058626078,0.93431712962963,0.985011574074074
"46","2016-04-04_17-41-29_020aee|08",NA,NA,NA,NA,"ETHOSCOPE_020","020aeeee10184bb39b0754e75cef7900",8,"F",0,4,"OK","None","None",0.0984185830967966,0.267537507965012,0.350750159300238,0.0144684298859888,0.164534984663464,0.325423924995659,0.182524497013973,0.370731141647823,0.376123383776889,152,70,0.66234555398015,0.959200208339362,0.401469992476416,0.934486949476243,0.923206018518518,0.983912037037037
"47","2016-04-04_17-41-29_020aee|09",NA,NA,NA,NA,"ETHOSCOPE_020","020aeeee10184bb39b0754e75cef7900",9,"F",0,4,"OK","None","None",0.135925731301454,0.366584924388393,0.304957085303906,0.0286084294796327,0.299917588886273,0.266246762420532,0.241515116413761,0.432178848604193,0.343044132978107,248,278,0.652941346682485,0.951763650568593,0.439608773655883,0.922796458128364,0.866261574074074,0.980729166666667
